,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,CL1_Comdty_buy,CL1_Comdty_sell,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,GC1_Comdty_buy,GC1_Comdty_sell,considered_assets,sub_considered_assets_1,sub_considered_assets_2,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,152.25184,start,,-100.0,,775.0168,start,,100.0,,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.07081755401413266, 'CL1_Comdty': -0.7074353228360577}","{'CL1_Comdty': 0.3247515940376954, 'GC1_Comdty': -0.023246653393572316}",,,
2003-02-22,Saturday,152.25184,,,,,775.0168,,,,,,,,,,
2003-02-23,Sunday,152.25184,,,,,775.0168,,,,,,,,,,
2003-02-24,Monday,155.80474,,,,,783.65014,,,,,,,,,,
2003-02-25,Tuesday,153.37579,,,,,771.65945,,,,,,,,,,
2003-02-26,Wednesday,160.69516,,,,,777.04479,,,,,,,,,,
2003-02-27,Thursday,159.25425,,,,,763.01633,,,,,,,,,,
2003-02-28,Friday,155.93737,start,0.0242068010475275,-100.0,-100.0,768.36565,start,-0.0085819429978808,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.057638870003838154, 'CL1_Comdty': -0.7291402913248372}","{'CL1_Comdty': 0.19842701472152205, 'GC1_Comdty': -0.00683583657759931}",-0.0327887440454083,-0.0085819429978808,-0.0242068010475275
2003-03-01,Saturday,155.93737,,,,,768.36565,,,,,,,,,,
2003-03-02,Sunday,155.93737,,,,,768.36565,,,,,,,,,,
2003-03-03,Monday,151.39139,,,,,758.76274,,,,,,,,,,
2003-03-04,Tuesday,155.29327,,,,,765.67823,,,,,,,,,,
2003-03-05,Wednesday,153.40121,,,,,760.25701,,,,,,,,,,
2003-03-06,Thursday,154.96498,,,,,769.5504,,,,,,,,,,
2003-03-07,Friday,158.88537,start,0.0189050257805425,-100.0,-100.0,759.73825,start,-0.0112282479051477,100.0,100.0,"{'GC1_Comdty': 1.5, 'CL1_Comdty': 1.5}","{'GC1_Comdty': -0.07056656802149197, 'CL1_Comdty': -0.7111467874882946}","{'CL1_Comdty': 0.20313513701746388, 'GC1_Comdty': 0.03593738704626191}",-0.0301332736856902,-0.0112282479051477,-0.0189050257805425
